Supplementary Data Sheet 1 Trait values for the 7686 rice varieties studied.,,,,,,,,,,,,,
Varieties,Ecotype,Province of release,Year of release,Yield (t/ha),Growth period (d),Height (cm),Pannicle length (cm),Panicle number (million/ha),Seed setting rate (%),1000-grain-weight (g),Grains per panicle,Seed length/width ratio,Filled grain number
qi you 801,Indica hybrid,Guizhou,2010,9.3294,154.9,116.4,NA,2.235,78.8,29,NA,3,150.8
mian you 616,Indica hybrid,Guizhou,2010,9.1104,156,107.8,NA,2.25,83.7,29.9,NA,2.7,140.5
guang liang you 192,Indica hybrid,Guizhou,2010,8.8938,153.9,109.5,NA,2.385,74.4,27.6,NA,3,143.2
qi you 915,Indica hybrid,Guizhou,2010,8.94915,158.5,93.5,NA,2.49,76.2,29.9,NA,3.1,162.3
an you 136,Indica hybrid,Guizhou,2010,8.97525,158.3,95.1,NA,2.385,76.8,28.5,NA,3,135.3
ji you 9 hao ,Indica hybrid,Guizhou,2010,9.4956,157.4,95.8,NA,2.565,82,28.7,NA,3.1,161.9
liang you 2111,Indica hybrid,Yunnan,2010,10.146,149,109.9,24.4,2.85,74,30.6,NA,3,122
mian you 725,Indica hybrid,Yunnan,2010,9.573,152,90.5,23.1,2.58,NA,30.2,NA,2.9,130
long te you 247,Indica hybrid,Yunnan,2010,9.645,151,108.2,24.3,2.565,NA,29.7,NA,2.5,151.6
��you 310,Indica hybrid,Yunnan,2010,8.862,150,111.7,26.3,NA,88.2,26.8,NA,NA,196.4
fu you 2-2,Indica hybrid,Yunnan,2010,8.09775,155,110,27.1,NA,86.5,28.4,NA,NA,202.8
chuan you 3727,Indica hybrid,Yunnan,2010,9.3315,158,107.7,NA,2.685,NA,29.9,NA,3,118
Yliang you 85,Indica hybrid,Yunnan,2010,9.702,154,104.3,NA,2.79,NA,27.65,NA,3,132
gang 1you 275,Indica hybrid,Yunnan,2010,10.392,151,110.3,23.6,2.76,NA,30.6,NA,3,129
nei you 3002,Indica hybrid,Yunnan,2010,10.575,162,97.5,24.4,NA,79.3,31,138,3.2,109.434
yi you 2815,Indica hybrid,Yunnan,2010,11.0832,161,103.5,24.3,NA,83,30.9,138,2.9,114.54
mian you 8113,Indica hybrid,Yunnan,2010,11.205,164,102.5,24.5,NA,80,31,151,2.8,120.8
yue you 002,Indica hybrid,Yunnan,2010,10.383,165,97.5,23,NA,80,27.5,140,3.3,112
jiang you 455,Indica hybrid,Yunnan,2010,9.921,165.4,104.1,23.8,NA,79.4,28.2,NA,3.4,136.1
yi you 3009,Indica hybrid,Yunnan,2010,5.66325,164,114.8,24.8,2.94,82.8,29,NA,2.6,NA
he you 4 hao ,Indica hybrid,Yunnan,2010,10.6632,165,105,24.7,NA,81,29.1,NA,3,NA
zhong you 1259,Indica hybrid,Yunnan,2010,10.761,165.3,103.8,25,NA,82.6,29.3,NA,2.8,133.9
long you 128,Indica hybrid,Yunnan,2010,5.54325,155,105,23.8,2.886,85.5,28,NA,2.8,NA
tian you 85,Indica hybrid,Yunnan,2010,10.185,150,99.6,21.5,3.1275,81.5,27.6,153.8,3.1,125.347
yue tai you 116,Indica hybrid,Hainan,2010,7.3797,127,107,21,2.943,89,26.5,127.5,NA,113.475
shuang qing you 2008,Indica hybrid,Hainan,2010,7.3962,128,103.1,22,3.015,84.8,24.5,128.7,NA,109.1376
te you 458,Indica hybrid,Hainan,2010,7.50045,131.5,105.6,20.8,2.8275,90.7,26.7,123.2,NA,111.7424
te you 506,Indica hybrid,Hainan,2010,7.0983,129.5,105.1,21.1,2.8065,86.2,26.4,126.2,NA,108.7844
xin dao 31 hao ,Japonica inbred,Xinjiang,2010,12,NA,90,19.5,NA,91,26.5,95,2.1,86.45
xin dao 29 hao ,Japonica inbred,Xinjiang,2010,11.25,NA,NA,18,NA,90,25,NA,NA,NA
xin dao 30 hao ,Japonica inbred,Xinjiang,2010,11.25,NA,NA,18.5,NA,90,26.9,NA,NA,NA
xin dao 32 hao ,Japonica inbred,Xinjiang,2010,10.2,NA,NA,18,NA,92,25,NA,1.8,NA
xin dao 33 hao ,Japonica inbred,Xinjiang,2010,10.65075,141.5,70,14,NA,88.7,25.56,NA,1.9,NA
xin dao 34 hao ,Japonica inbred,Xinjiang,2010,10.3482,NA,90,13.35,NA,86.7,24.22,NA,1.8,NA
xin dao 35 hao ,Japonica inbred,Xinjiang,2010,10.5,NA,NA,13.59,NA,88.01,22.81,NA,1.7,NA
fu jing 9 hao ,Japonica inbred,Liaoning,2010,8.3055,NA,NA,NA,NA,82.2,25.5,NA,1.7,NA
tie jing 10 hao ,Japonica inbred,Liaoning,2010,7.9785,148,100,19,NA,86.3,27.6,NA,1.6,NA
xin yu 3 hao ,Japonica inbred,Liaoning,2010,8.2395,145.5,106,19.6,NA,NA,25.9,NA,1.8,NA
fu jing 8 hao ,Japonica inbred,Liaoning,2010,9.22695,NA,97.7,18.5,NA,NA,26.2,NA,NA,NA
fu xing 90,Japonica inbred,Liaoning,2010,8.3505,148,95.2,20,NA,83.5,23.4,NA,1.7,NA
yuan jing 9238 hao ,Japonica inbred,Liaoning,2010,8.3115,143,102.3,20.5,NA,NA,24.9,NA,2.1,NA
mei feng 9 hao ,Japonica inbred,Liaoning,2010,9.315,160,101,17,NA,NA,25.1,NA,1.7,NA
fu jing 357,Japonica inbred,Liaoning,2010,9.258,156,104.3,15,NA,NA,23.7,NA,1.9,NA
shen dao 47,Japonica inbred,Liaoning,2010,9.0885,155,105,25,NA,NA,25,NA,1.7,NA
shen you 1 hao ,Japonica hybrid,Liaoning,2010,10.6485,162,105,21.6,NA,NA,24.3,NA,1.8,NA
yan jing 456,Japonica inbred,Liaoning,2010,10.047,163,104.9,18,NA,NA,25.7,NA,1.6,NA
dong zhuang 1018,Japonica inbred,Liaoning,2010,10.2225,162,95.8,15.4,NA,NA,24.9,NA,1.6,NA
qiao yu 8,Japonica inbred,Liaoning,2010,9.6285,163,107.5,15,NA,NA,24.9,NA,1.9,NA
liao jing 101,Japonica inbred,Liaoning,2010,9.7425,160,103.7,19,NA,NA,24.8,NA,1.7,NA
liao you 9906,Japonica hybrid,Liaoning,2010,8.592,165,102,25,NA,NA,25,NA,2.2,NA
mei feng 1158,Japonica inbred,Liaoning,2010,7.8885,163,109.7,17.5,NA,NA,25,NA,1.7,NA
dao feng 1 hao ,Japonica inbred,Liaoning,2010,7.8015,163,112.2,20.2,NA,NA,25.2,NA,1.8,NA
ken yu 88,Japonica inbred,Hebei,2010,9.3072,178.8,115.6,18.3,NA,84.2,28.4,NA,NA,NA
ken you 0702,Japonica inbred,Hebei,2010,8.67135,176.3,114.3,16.1,NA,91,25.4,NA,NA,NA
chuan you 6621,Indica hybrid,Hainan,2010,7.21095,129,94.5,22.5,NA,84.5,31.1,108.8,NA,91.936
te you 328,Indica hybrid,Hainan,2010,7.54395,130,106,22.3,2.67,88.7,30,122.5,NA,108.6575
Dqi bao you 1688,Indica hybrid,Hainan,2010,7.29195,132.5,108.4,22.3,2.6805,90.7,30.7,119,NA,107.933
ke you 527,Indica hybrid,Hainan,2010,7.8525,129,97.7,21.95,2.943,84.4,31.5,100.1,NA,84.4844
poyou 364,Indica hybrid,Jiangxi,2010,7.48215,115.2,94.8,NA,3.195,80.7,29.4,103.8,2.9,83.8
zhu liang you 606,Indica hybrid,Jiangxi,2010,6.9771,109.9,85.8,NA,3.255,79,25.9,114,3.1,90.1
you ��536,Indica hybrid,Jiangxi,2010,7.8561,113.9,81.7,NA,3.015,82,24.5,116.8,2.7,95.8
wei you 156,Indica hybrid,Jiangxi,2010,7.7871,113,86.6,NA,3.21,82,29.3,98.8,2.8,81
xie you zhou 156,Indica hybrid,Jiangxi,2010,7.35285,110.3,91.4,NA,2.85,81.7,27.6,117.9,2.9,96.3
you ��651,Indica hybrid,Jiangxi,2010,7.73505,113.4,87.9,NA,3.21,86.7,26.5,100.6,2.8,87.2
you ��2058,Indica hybrid,Jiangxi,2010,7.62105,113.3,84.5,NA,3.18,81.1,29.5,98.4,2.7,79.8
zhu liang you 152,Indica hybrid,Jiangxi,2010,7.28325,108,84.2,NA,3.255,79.1,26.1,111.9,3.3,88.5
wu feng you 157,Indica hybrid,Jiangxi,2010,7.7064,112.4,86.2,NA,3.225,81.2,25.7,114.2,2.7,92.7
rong you 463,Indica hybrid,Jiangxi,2010,7.52115,112.6,87.4,NA,3.135,83.2,27.9,109.9,3,91.4
ling liang you 32,Indica hybrid,Jiangxi,2010,7.014,109.1,79.5,NA,3.12,76.2,25.4,118.6,2.6,90.4
mian xiang 576,Indica hybrid,Yunnan,2010,7.275,141,101.7,25.4,NA,NA,30.7,NA,3.1,NA
hua you 75,Indica hybrid,Yunnan,2010,7.7265,144,100.1,24.3,NA,77.4,NA,NA,3.2,NA
zhun liang you 608,Indica hybrid,Hunan,2010,8.283,141,111,NA,2.31,78.4,29.3,162.9,3,127.7136
zhong you 169,Indica hybrid,Yunnan,2010,10.9155,165,106,24.5,NA,82.8,27.8,NA,3.6,130.5
Yliang you 5867,Indica hybrid,Jiangxi,2010,8.505,129.2,120.7,NA,2.55,85,27.8,141.2,3.3,120
te you 3301,Indica hybrid,Guangxi,2010,8.187,129,120.8,24.6,2.61,77.7,30.3,146,2.5,113.442
Yliang you 5845,Indica hybrid,Guizhou,2010,9.0867,157.1,111.7,NA,2.175,80.4,27,NA,2.8,161.1
quan you 527,Indica hybrid,Guangdong,2010,7.24005,110.5,110.1,23.75,NA,77.35,29.15,130,3,100.555
gan you ming zhan ,Indica hybrid,Hainan,2010,7.68795,128,107.1,21.5,2.961,90.8,29.7,105,NA,95.34
huang hua zhan ,Indica inbred,Zhejiang,2010,7.728,127.4,102,23,2.73,89.6,23.2,156.1,3.3,139.8
huang hua zhan ,Indica inbred,Chongqing,2011,7.4625,151,97.7,NA,NA,87.93,22,NA,3.1,NA
yue nong si miao ,Indica inbred,Guangdong,2011,6.3108,112,97.45,21.15,2.9325,87.55,22.3,123,3.4,107.6865
yun guang 109,Japonica hybrid,Guizhou,2011,7.728,165.4,101.9,NA,2.8065,80.3,25.2,NA,2.9,152
jin dao 179,Japonica inbred,Tianjin,2011,9.3465,171,119.8,21.8,2.595,94.4,25.8,150.6,1.9,142.1664
tie jing 11 hao ,Japonica inbred,Liaoning,2011,9.0825,153,104,18.5,NA,NA,23.4,NA,1.8,NA
xiu shui 134,Japonica inbred,Shanghai,2011,9.1335,160,94.2,16.4,2.835,91.8,25.9,144,NA,132.192
xiu shui 123,Japonica inbred,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2011,8.37,147.3,96.6,16.6,2.835,89.1,26.9,135.2,1.7,120.4632
95you 161,Japonica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2011,7.8645,146.9,106.5,18.2,2.55,83,25.5,164,1.9,136.12
xiu you 378,Japonica hybrid,Zhejiang,2011,7.74,147.1,102.6,19.4,2.1,84.9,25.9,180.2,1.8,153
yun guang 101,Japonica hybrid,Guizhou,2011,7.73715,167.6,97.6,NA,3.03,80.5,26.5,NA,2.1,133.8
hua rui dao 1 hao ,Japonica inbred,Jiangsu,2011,9.204,153.2,98.8,NA,3.09,88.1,26.2,NA,NA,127.1
ning jing 5 hao ,Japonica inbred,Jiangsu,2011,9.081,153.5,100.3,NA,3.345,90.2,26.7,NA,NA,116.9
zhen dao 14 hao ,Japonica inbred,Jiangsu,2011,9.594,154,99.9,NA,3.18,91.3,28.2,NA,NA,121.3
yang yu jing 2 hao ,Japonica inbred,Jiangsu,2011,9.243,156.4,99.8,NA,3.075,90.2,28.2,NA,NA,119.3
ning 5055,Japonica inbred,Jiangsu,2011,9.2175,160,96.5,NA,3.06,91.4,24.7,NA,NA,121
tong jing 981,Japonica inbred,Jiangsu,2011,9.369,159.8,105.6,NA,2.76,91.1,27.5,NA,NA,125.3
zhen dao 15 hao ,Japonica inbred,Jiangsu,2011,9.4275,159.4,106,NA,2.94,91,27,NA,NA,122.3
chang nong jing 6 hao ,Japonica inbred,Jiangsu,2011,9.3315,161,93.2,NA,3.255,92.5,27.9,NA,NA,106
sheng dao 17,Japonica inbred,Shandong,2011,10.0695,156,99.8,15.6,3.285,86.5,27.1,NA,NA,109.7
sheng dao 2572,Japonica inbred,Shandong,2011,8.8845,145,91.9,16,3.27,85,26.9,NA,NA,111.6
tai jing 8 hao ,Japonica inbred,Fujian,2011,8.06865,145,110.4,21.9,2.7,92.7,25.6,145.1,1.6,134.5077
fu 501,Indica inbred,Zhejiang,2011,7.3095,109.7,99.1,19.3,3.075,86.9,29.1,106.9,2.8,92.8
jia zao 309,Indica inbred,Zhejiang,2011,6.879,111.3,90.4,20.3,3.18,86.2,26.2,116.9,3,100.8
zhong jia zao 66,Indica inbred,Zhejiang,2011,6.9375,111.1,92.6,18.1,2.94,83,27.7,130.5,2.1,107.8
jia yu 66,Indica inbred,Zhejiang,2011,6.9435,110.6,90.4,18.7,2.955,81.9,27.6,131.9,2.4,107.7
xiu shui 414,Japonica inbred,Zhejiang,2011,7.749,143,91.5,16.2,3.075,80.9,24.7,124.9,1.7,101.9
zhe jing 88,Japonica inbred,Zhejiang,2011,7.3785,140.1,101.3,15.5,2.79,84.8,25.7,138.2,1.6,117.2
xiu shui 05,Japonica inbred,Zhejiang,2011,8.49,151.6,95.8,16.6,2.805,87.5,26.2,136,1.8,118.8
s hao jing 18,Japonica inbred,Zhejiang,2011,8.019,154,104.9,16.8,2.565,89.8,25.7,141.8,1.7,127.3
huang ruan zhan ,Indica inbred,Guangdong,2011,7.0869,132,99.15,20,2.7975,88.05,20.75,128.7,3.25,113.32035
feng li si miao ,Indica inbred,Guangdong,2011,6.76785,134,103.4,19.5,2.7375,80.05,23.25,137.9,3.15,110.38895
yue te 13,Indica inbred,Guangdong,2011,6.8745,134,107.35,20.4,2.6175,81.55,22.5,134.4,3,109.6032
mei you zhan ,Indica inbred,Guangdong,2011,6.67935,133.5,98.35,19.4,3.2775,85.45,20.75,107.9,3.25,92.20055
jin yuan xiang 98,Japonica inbred,Tianjin,2011,8.9475,170,119.6,20.7,2.955,93.6,26.9,127.1,2,118.9656
su xiu 867,Japonica inbred,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2011,9.3435,154.5,90.8,16.4,NA,83.6,25.6,137.4,NA,114.8664
long jing 32 hao ,Japonica inbred,Heilongjiang,2011,7.8404,NA,91,15.2,NA,NA,25.2,NA,NA,NA
long jing 31 hao ,Japonica inbred,Heilongjiang,2011,8.1654,NA,92,15.7,NA,NA,26.3,NA,NA,NA
song jing xiang 2 hao ,Japonica inbred,Heilongjiang,2011,8.2845,NA,110,20,NA,NA,25.5,NA,NA,NA
xin jing you 1 hao ,Japonica hybrid,Henan,2011,9.1005,161.2,125.4,19.7,NA,73.4,23.7,211.5,1.9,154.3
hua jing 295,Japonica inbred,Hubei,2011,7.497,124.6,94.9,17.3,2.67,84.2,25.46,144.8,1.9,121.9
ken dao 2018,Japonica inbred,Hebei,2011,8.37,174,118,18,NA,84.6,25.7,NA,1.8,129.4
long jing 30 hao ,Japonica inbred,Heilongjiang,2011,8.4318,NA,87.1,17.7,NA,NA,25.1,NA,NA,NA
tong ke 18,Japonica inbred,Jilin,2011,8.4233,142,97.3,19.4,3.09,85.2,22.9,NA,1.8,NA
long dao 12 hao ,Japonica inbred,Heilongjiang,2011,7.9029,NA,90,17,NA,NA,26,NA,NA,NA
yun jing 29 hao ,Japonica inbred,Yunnan,2011,10.2555,172,98.3,17.9,NA,81.7,23.1,NA,1.8,94
yun jing 30 hao ,Japonica inbred,Yunnan,2011,10.1685,171,98.2,18.7,NA,80.5,24,NA,1.9,99
yun jing 31 hao ,Japonica inbred,Yunnan,2011,9.999,174,96.9,17.4,NA,80.6,25.8,NA,1.9,102
yun jing 32 hao ,Japonica inbred,Yunnan,2011,10.206,177,93,18.6,NA,85.8,24.5,NA,2,99
lian dao 1 hao ,Japonica inbred,Heilongjiang,2011,8.1436,NA,85,19,NA,NA,26.5,NA,NA,NA
song 05-274,Japonica inbred,Heilongjiang,2011,9.4206,NA,100,21,NA,NA,25,NA,NA,NA
song jing 15 hao ,Japonica inbred,Heilongjiang,2011,9.5651,NA,95,15.5,NA,NA,24,NA,NA,NA
zhong zhe you 1 hao ,Indica hybrid,Guizhou,2011,9.26505,163,105,25,2.325,78.8,27.2,179.2,3,141.2096
hua xiang 7 hao ,Indica hybrid,Sichuan,2011,8.8476,150.7,117.5,27,2.16,79.7,30.7,NA,2.8,NA
hua you 75,Indica hybrid,Yunnan,2011,9.777,148,104.7,24.5,NA,NA,31.2,NA,3.1,114
shen liang you 5814,Indica hybrid,Chongqing,2011,8.841,163,118.3,NA,NA,87.08,26.33,NA,2.9,NA
gu you 3301,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2011,8.868,144.3,113.1,24.1,2.565,82.3,29,147.7,2.8,121.5571
guang liang you xiang 66,Indica hybrid,Henan,2011,8.7003,150.7,130.3,25.6,NA,76.6,29.1,203.1,3,155.2
Yliang you 5867,Indica hybrid,Zhejiang,2011,9.012,135,122.8,26.1,2.325,86.7,28.2,161.1,3.1,139.6
xing 2 hao ,Indica inbred,Hunan,2011,8.0685,123,115,NA,2.7,83,30,130,3.9,107.9
te you 3301,Indica hybrid,Hainan,2011,8.45985,135,111.6,23.1,2.898,77.5,29.3,129.5,NA,100.3625
tong jing 888,Japonica inbred,Jilin,2011,8.1379,147,110.4,20.5,3.06,88.4,28.6,NA,1.6,NA
quan you 3301,Indica hybrid,Fujian,2011,9.00105,142.4,115.5,25.2,2.31,85.77,29.5,174,2.7,149.2398
zhong pu you hua zhan ,Indica hybrid,Zhejiang,2011,7.7925,123.4,113.4,23.5,2.37,81.2,23.7,193,3,156.5
Yliang you 689,Indica hybrid,Zhejiang,2011,9.012,134.7,122.9,25.9,2.385,87.4,27,161.7,3.2,141.2
shen you 9583,Indica hybrid,Guangdong,2011,6.8688,131,114,21.95,2.3775,81.35,26.5,142.5,3.05,115.92375
ling liang you 104,Indica hybrid,Hunan,2011,7.9185,116,88.6,NA,3.42,82.6,27.3,116.4,3.1,96.1464
Yliang you 646,Indica hybrid,Hunan,2011,8.8395,142,113,NA,2.49,85.2,25.5,172.1,3.2,146.6292
sheng tai you 9712,Indica hybrid,Hunan,2011,7.3875,109,95,NA,3.105,77.5,26.3,NA,3,NA
xinyou 9113,Indica hybrid,Hunan,2011,7.626,110.1,90.6,NA,3.42,76.1,26.1,123.8,3.3,94.2118
wu you 613,Indica hybrid,Guangdong,2011,6.99855,109,100.6,21.8,2.9775,73.95,23.1,152,3,112.404
shen you 9789,Indica hybrid,Guangdong,2011,7.365,111,113.75,25,2.8125,76.6,27.3,138,3,105.708
zhen you 616,Indica hybrid,Guangdong,2011,6.861,118.5,108.25,21.7,2.61,80.45,22.95,150,2.8,120.675
ye xiang you 2998,Indica hybrid,Guangxi,2011,8.14005,NA,NA,24.3,2.37,73.9,29.3,157.6,2.9,116.4664
bo you 1167,Indica hybrid,Guangxi,2011,7.46925,117,120.5,23,2.79,84.1,23,144.3,2.5,121.3563
yi xiang you 2115,Indica hybrid,Sichuan,2011,8.02395,153.5,120.5,28.2,1.845,83.6,32.8,NA,2.9,NA
yi xiang you 1108,Indica hybrid,Sichuan,2011,8.1276,152.9,122.5,27,2.145,82.8,28.9,NA,2.9,NA
chuan gu you 918,Indica hybrid,Sichuan,2011,8.39955,154.9,123,26.8,1.965,84,31.8,NA,2.8,NA
chuan gu you 399,Indica hybrid,Sichuan,2011,8.77695,153.4,116.7,25.9,2.19,82.1,27.4,NA,2.8,NA
yi xiang you 800,Indica hybrid,Sichuan,2011,8.5953,153,125.5,28.4,2.1,75.2,31.8,NA,2.7,NA
chuang xiang 5 hao ,Indica inbred,Hunan,2011,7.9785,119,109.2,NA,2.52,85.7,28.3,133.4,3.4,114.3238
xie you 385,Indica hybrid,Guizhou,2011,9.60435,162.2,120.5,NA,2.205,79.4,31.6,NA,3.1,143.2
zhong nan you 1 hao ,Indica hybrid,Jiangsu,2011,8.3865,140.4,121.8,NA,2.145,85,28.3,NA,3,157.7
jiao za jing 1 hao ,Japonica hybrid,Henan,2011,9.2955,156.8,116.5,21,NA,76.7,26,181.1,1.9,139.3
hua you 218,Indica hybrid,Hainan,2011,7.9596,132.5,112.7,21.5,2.979,87.23,26.2,126.3,NA,110.17149
Tyou 023,Indica hybrid,Yunnan,2011,10.311,166,102.8,25.3,NA,NA,29.6,NA,3.1,144
shi you 016,Indica hybrid,Yunnan,2011,10.1916,159,103.5,23.4,NA,NA,27.6,NA,3.2,115
ming liang you 829,Indica hybrid,Yunnan,2011,10.86,162,115.6,25.3,NA,NA,26.4,NA,3,142
yi xiang 3724,Indica hybrid,Yunnan,2011,10.1025,151,107.6,26.6,NA,81,33.9,NA,2.9,100
yi xiang 707,Indica hybrid,Yunnan,2011,7.917,142,100.9,26.7,NA,NA,31.2,NA,3,NA
zhong you 368,Indica hybrid,Yunnan,2011,9.4065,148,100,25.5,NA,NA,26,NA,3.2,137
yi xiang 2308,Indica hybrid,Yunnan,2011,6.8055,148,99.8,25,NA,NA,31,NA,3.1,NA
tian you 2168,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2011,8.016,118.8,111.1,22.9,2.64,76,29.9,145.8,3.1,110.808
jin you 966,Indica hybrid,Fujian,2011,7.17,119.1,95.8,21.1,3.2595,80.5,26.6,104,3.1,83.72
dong jing you 775,Japonica hybrid,Hubei,2011,7.9071,122.6,99.7,16.5,3.105,87.9,25.64,131.3,2.1,115.4
chang bai 25 hao ,Japonica inbred,Jilin,2011,8.6409,131,105.3,18.1,3.66,90.2,26.3,NA,1.8,NA
lv da 177,Japonica inbred,Jilin,2011,8.5098,132,100.1,16.9,3.555,89.7,24.1,NA,1.7,NA
tong xi 925,Japonica inbred,Jilin,2011,7.9693,136,112,21.1,3.3,91.5,26.8,NA,2,NA
ji nong da 603,Japonica inbred,Jilin,2011,8.1093,136,105.2,17.8,3.93,89.8,25.5,NA,1.8,NA
tong xi 926,Japonica inbred,Jilin,2011,8.0807,135,105.2,17.1,3.6,89.4,23.6,NA,2,NA
hong ke 88,Japonica inbred,Jilin,2011,8.0887,138,106.9,18.9,3.945,91.3,25.1,NA,2,NA
tong yu 335,Japonica inbred,Jilin,2011,8.0655,135,99.2,17.8,4.155,89.6,26.7,NA,1.8,NA
tong he 859,Japonica inbred,Jilin,2011,8.5285,140,105.2,19.8,NA,88.4,25.2,NA,2.2,NA
ji jing 510,Japonica inbred,Jilin,2011,8.7304,140,105.6,17,3.42,90,26.5,NA,1.7,NA
dong jing 6 hao ,Japonica inbred,Jilin,2011,8.328,139,108.9,21.7,3.075,87.1,27.4,NA,1.8,NA
tong xi 931,Japonica inbred,Jilin,2011,8.5753,142,108.9,20.4,3.165,86.4,29,NA,1.9,NA
ping an jing dao 13,Japonica inbred,Jilin,2011,8.0563,141,108,18.8,3,90.6,26.1,NA,2.2,NA
tong he 858,Japonica inbred,Jilin,2011,8.4496,141,106.6,19,NA,88.9,27.1,NA,2.2,NA
ji nong da 858,Japonica inbred,Jilin,2011,8.3868,141,103.9,19.3,3.09,92.9,29,NA,1.8,NA
hong ke 67,Japonica inbred,Jilin,2011,8.2401,143,108.2,20.8,3.675,91.4,22.7,111.6,2,102.0024
ji jing 808,Japonica inbred,Jilin,2011,8.6122,144,103.9,20.4,3.84,89,26.7,NA,1.7,NA
nong zhan 2 hao ,Japonica inbred,Jilin,2011,7.8917,140,104,17.3,3.45,86.5,28.5,NA,1.7,NA
long qing dao 2 hao ,Japonica inbred,Heilongjiang,2011,9.3765,NA,95.7,15.5,NA,NA,26.7,NA,NA,NA
qi hua zhan ,Indica inbred,Guangdong,2011,6.6696,109.5,104.85,22.2,3.09,80.85,18.4,155,3.65,125.3175
yue mei si miao ,Indica inbred,Guangdong,2011,6.3723,114.5,99.35,20,3.045,83.3,18.4,147,3.65,122.451
wu guang zhan ,Indica inbred,Guangdong,2011,6.8241,114.5,97.95,20.25,3.21,78.65,20.85,136.5,3.35,107.35725
xin huang zhan ,Indica inbred,Guangdong,2011,6.32895,114,100.9,20.05,2.8575,87.05,23.85,119,3.45,103.5895
huang he zhan ,Indica inbred,Guangdong,2011,6.066,111.5,104.8,21.9,2.8125,82.55,21.65,137,3.3,113.0935
li feng zhan ,Indica inbred,Guangdong,2011,6.2535,114,105.5,22.2,2.9625,80.2,20.4,135.5,3.45,108.671
san ao zhan ,Indica inbred,Guangdong,2011,5.8566,115.5,102.4,22.05,2.9475,87.1,18.6,140.5,3.65,122.3755
zao jing zhan ,Indica inbred,Guangdong,2011,6.11355,112,104.9,21.15,2.7825,84.85,19.25,147.5,3.85,125.15375
feng ruan zhan ,Indica inbred,Guangdong,2011,5.6964,113.5,93.2,20.2,2.9475,83.25,18.4,148.5,3.6,123.62625
luyou 11,Indica hybrid,Guangxi,2011,7.368,123,106.2,24,2.67,80.9,27.1,140.9,3,113.9881
mian xiang 576,Indica hybrid,Yunnan,2011,9.876,162,105.1,25.8,NA,80,32.8,NA,3.1,NA
gang you 177,Indica hybrid,Hainan,2011,6.09,118.5,106.5,23,2.5035,77.8,24.1,157.1,NA,122.2238
ganliang you 602,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2011,7.5915,115.1,106.7,23.5,2.82,76.5,24.8,161.6,3,123.624
yi you 99,Indica hybrid,Yunnan,2011,9.843,162,99.6,24.5,NA,NA,31,NA,3,110
zhu liang you 08,Indica hybrid,Jiangxi,2011,6.38115,111.7,79.5,NA,3.405,76.9,27.6,105.3,3.1,81
shen liang you 9152,Indica hybrid,Jiangxi,2011,7.8462,130.2,122,NA,2.31,80.9,27.2,164.7,3.5,133.3
tian you 3301,Indica hybrid,Hainan,2011,8.0466,131,103.6,22.7,2.79,85.5,30,126,NA,107.73
bo ��you 312,Indica hybrid,Guangdong,2011,6.4344,120.5,109.15,23.05,2.49,82.5,23.6,146,2.65,120.45
tian you 1251,Indica hybrid,Guangxi,2011,7.2876,110,108.1,22.8,2.535,81,27.8,143.4,2.9,116.154
Kyou 8149,Indica hybrid,Yunnan,2011,9.582,148,113.6,25.4,NA,NA,30.1,NA,NA,124
gang you 94-11,Indica hybrid,Chongqing,2011,9.003,160,120.6,NA,NA,87.77,26.83,NA,2.3,NA
Nyou 69,Indica hybrid,Yunnan,2011,9.531,146,110,25,NA,NA,28.8,NA,2.9,130
gang you 906,Indica hybrid,Yunnan,2011,10.5015,163,103.7,22.9,NA,NA,25.2,NA,2.3,146
ling liang you 942,Indica hybrid,Jiangxi,2011,6.39075,113.7,86.6,NA,3.225,81.5,24.9,108,3.2,88
luxiang 658,Indica hybrid,Yunnan,2011,9.654,171,99.3,23.5,NA,NA,28.4,NA,3.4,115
rui you 68,Indica hybrid,Yunnan,2011,9.786,164,103.6,23.9,NA,NA,28.7,NA,3.2,138
6liang you 9368,Indica hybrid,Guangxi,2011,8.61615,124,115.7,22.5,2.49,76.5,27.95,161.4,NA,123.471
yi xiang 107,Indica hybrid,Yunnan,2011,9.651,164,101.4,23.3,NA,NA,29.7,NA,3.1,125
yi you 403,Indica hybrid,Yunnan,2011,10.614,150,113.9,24.5,NA,NA,32.3,NA,2.9,112
ke you 21,Indica hybrid,Guizhou,2011,9.2634,157.9,119.1,NA,2.04,78.3,26.2,NA,2.8,165.7
xin you 215,Indica hybrid,Yunnan,2011,9.963,157,107.3,24.5,NA,80.65,29.9,NA,2.5,136
Tyou 109,Indica hybrid,Chongqing,2011,9.2175,160,126.9,NA,NA,86.14,26.79,NA,NA,NA
feng da you 2590,Indica hybrid,Yunnan,2011,10.0275,168,92.7,22.8,NA,NA,29.4,NA,3.1,109
